flo2d_150_v2_station_id,ob_1_id,ob_1_dist,ob_2_id,ob_2_dist,ob_3_id,ob_3_dist
21156,100032,11.116949781242726,100002,11.293247275388431,100044,11.472784045943923
21157,100032,11.043097833575839,100002,11.249292397417173,100044,11.424620183724615
21158,100032,10.970273209538028,100002,11.206870886050156,100044,11.377896101377448
21159,100032,10.899578029767673,100002,11.166627514977394,100044,11.333320866616809
21160,100032,10.829996559583938,100002,11.127986583514499,100044,11.290255751437149
21161,100032,10.762090307024005,100002,11.09127309085122,100044,11.249058896098736
21162,100032,10.696371628544568,100002,11.056754725821666,100044,11.210032983305274
21163,100032,10.631898610622018,100002,11.023938414547748,100044,11.172619671475532
21164,100032,10.569196190441115,100002,10.993104623740269,100044,11.137134243664772
21165,100032,10.508737207375708,100002,10.964474764177345,100044,11.103834648799825
21166,100032,10.44965729095044,100002,10.937640408585416,100044,11.072245141919325
21167,100032,10.392442221282431,100002,10.912835862400197,100044,11.04263641788885
21168,100032,10.337522730960613,100002,10.890234865599913,100044,11.015220156628526
21169,100032,10.284115605756604,100002,10.869515353163294,100044,10.989605152531539
21170,100032,10.23303592631662,100002,10.850993616829317,100044,10.966181971193803
21171,100032,10.183556431881795,100002,10.834405880746017,100044,10.944616624589367
21172,100032,10.136091798617995,100002,10.81990652130218,100044,10.925102155982586
21173,100032,10.090996915734623,100002,10.807587467943263,100044,10.907770350790015
21174,100032,10.047631256189009,100002,10.797273403440094,100044,10.89237429699583
21175,100032,10.00636332407635,100002,10.78906933044899,100044,10.879058765535355
21176,100032,9.967499189355081,100002,10.783017113459092,100044,10.867906321785753
21177,100032,9.930488052371924,100002,10.779030655281435,100044,10.858758185861538
21178,100032,9.895649744136147,100002,10.77716491893245,100044,10.851709952463375
21179,100032,9.86323923937317,100002,10.777411378781572,100044,10.846794382836864
21180,100032,9.832798123497401,100002,10.779773539846847,100044,10.843941518152123
21181,100032,9.804794387179658,100002,10.784215293108947,100044,10.843194950287097
21182,100032,9.77883241255735,100002,10.790799820665582,100044,10.844544052958256
21183,100032,9.755145911826409,100002,10.799498139143848,100044,10.848001324505475
21184,100032,9.7229604599941,100002,10.799212366857496,100044,10.86454523611059
21185,100032,9.703834750704987,100002,10.812119470625456,100044,10.872188337397603
21186,100032,9.687032344931213,100002,10.82712358727775,100044,10.881927830844957
21187,100032,9.67266317698568,100002,10.844082734374826,100044,10.893663492388418
21188,100032,9.660524802875901,100002,10.86323836612213,100044,10.907562426511296
21189,100032,9.650741113327618,100002,10.884461551429123,100044,10.923537426449466
21190,100032,9.643365212914189,100002,10.907561584530585,100044,10.9414392181846
21191,100032,9.63829325810384,100002,10.932867644277565,100044,10.961522873537355
21192,100032,9.635592316224558,100002,10.960202011514854,100044,10.983652091839552
21193,100032,9.635258127649701,100002,10.989326453363262,100044,11.007629482465326
21194,100032,9.637285990959207,100002,11.020656461756676,100044,11.03379699447732
21195,100032,9.641644609296657,100002,11.053714587467988,100044,11.06175570290457
21196,100032,9.648395338345868,100002,11.088972849535528,100044,11.09190462714812
21197,100032,9.657509640575958,100044,11.124027835499781,100002,11.12617497405065
21198,100032,9.668887903238517,100044,11.157850586636282,100002,11.16500686039477
21199,100032,9.682690374407612,100044,11.19385619298118,100002,11.206023764023328
21200,100032,9.698831399558097,100044,11.231782639150424,100002,11.248924260898928
21201,100032,9.71715507048536,100044,11.271310791692292,100002,11.293351006657947
21202,100032,9.737919697948438,100044,11.31300629628887,100002,11.339940261266957
21203,100032,9.760805385926984,100044,11.356235588969142,100002,11.387984660894398
21204,100032,9.786135033509247,100044,11.401617910727785,100002,11.438173041335949
