flo2d_150_station_id,ob_1_id,ob_1_dist,ob_2_id,ob_2_dist,ob_3_id,ob_3_dist
25252,100044,9.314447715954019,100030,12.733327016452309,100069,15.011084254034351
25253,100044,9.220140326428806,100030,12.69584268886142,100069,14.980511652802205
25254,100044,9.12736418941403,100030,12.660053881034889,100069,14.95140616337795
25255,100044,9.036831166843683,100030,12.626219315780702,100069,14.92397412443284
25256,100044,8.947247997549313,100030,12.593851539122568,100069,14.897817296445261
25257,100044,8.859340492771974,100030,12.56322080388768,100069,14.873152144482455
25258,100044,8.773786287462393,100030,12.534545790320784,100069,14.850150951716502
25259,100044,8.689368954382545,100030,12.507413731169496,100032,14.788357587939641
25260,100044,8.607381384867269,100030,12.482234936057154,100032,14.72220259538761
25261,100044,8.526661779190977,100030,12.458647149738125,100032,14.656810257983986
25262,100044,8.44787819102159,100030,12.436853564789573,100032,14.592692096412701
25263,100044,8.371642536358337,100030,12.417004009764806,100032,14.530322189991896
25264,100044,8.296880339105543,100030,12.398813091893004,100032,14.468793256930363
25265,100044,8.22421947753147,100030,12.382442472089979,100032,14.408588816042057
25266,100044,8.154226524782613,100030,12.36799962944315,100032,14.350153421664508
25267,100044,8.085920642560128,100030,12.35527701143178,100032,14.292637833969595
25268,100044,8.019884856058999,100030,12.344394000424051,100032,14.23649631422988
25269,100044,7.956635511894571,100030,12.335415182795053,100032,14.182142647830428
25270,100044,7.895291565756674,100030,12.328211575765662,100032,14.128787662384827
25271,100044,7.836810199568025,100030,12.322892302893313,100032,14.077231727788575
25272,100044,7.780380075134306,100030,12.319380963449602,100032,14.026726757234673
25273,100044,7.726498053819373,100030,12.317725355403859,100032,13.977675483407833
25274,100044,7.67558523665412,100030,12.317917974824486,100032,13.93043773417715
25275,100044,7.6269395279971715,100030,12.319961589179915,100032,13.884328703483048
25276,100044,7.580998776190262,100030,12.32386067224414,100032,13.83971855301923
25277,100044,7.53811981669639,100030,12.329564406002369,100032,13.79693315210614
25278,100044,7.497714719015991,100030,12.337154714512096,100032,13.755352782212242
25279,100044,7.460156814963143,100030,12.346592748155697,100032,13.71531384662292
25280,100044,7.4365041484340155,100030,12.346780529404933,100032,13.666416225212638
25281,100044,7.404792162910638,100030,12.359898702851524,100032,13.629459883710043
25282,100044,7.3760448761812105,100030,12.374851128136124,100032,13.594085441454258
25283,100044,7.350475372945011,100030,12.39150113097026,100032,13.560547814917268
25284,100044,7.32773628322247,100030,12.410088012839848,100032,13.528362021670633
25285,100044,7.308189848330703,100030,12.430330401501488,100032,13.49801269000893
25286,100044,7.291571124683361,100030,12.452519335054449,100032,13.469061148620035
25287,100044,7.278057302864972,100030,12.476501901733553,100032,13.441748690383676
25288,100044,7.267730683357371,100030,12.502071841830352,100032,13.416267986128162
25289,100044,7.260451618283404,100030,12.529597039175659,100032,13.392250968381955
25290,100044,7.256317534135983,100030,12.558882974956079,100032,13.369901394513512
25291,100044,7.255329539294318,100030,12.589682818979488,100032,13.349373518845429
25292,100044,7.257474282173058,100030,12.622440049815935,100032,13.330370975551247
25293,100044,7.262767877138415,100030,12.65691945656182,100032,13.31305920280712
25294,100044,7.271129977805185,100030,12.692834722006287,100032,13.2975534068406
25295,100044,7.2826736295782855,100030,12.730703448665285,100032,13.283629823585406
25296,100044,7.297214450174078,100030,12.769953915992792,100032,13.27149848705672
25297,100044,7.314949252667528,100030,12.811152162683,100032,13.260984369420184
25298,100044,7.335759294575478,100030,12.85399760638652,100032,13.252187699301698
25299,100044,7.359431998643717,100030,12.898140890770058,100032,13.245157637757375
25300,100044,7.386288714969552,100030,12.944219283660201,100032,13.239792781289546
25301,100044,7.416132460273249,100030,12.991894599805688,100032,13.236153629926752
25302,100044,7.448675515525054,100030,13.040781438119062,100032,13.23424936198576
25303,100044,7.484361455982603,100030,13.0915863307169,100032,13.23405251222474
25304,100044,7.5229185761921125,100030,13.143934829694816,100032,13.235583614501294
25305,100044,7.563988467421621,100030,13.19740691466159,100032,13.238811808318129
25306,100044,7.608133727673071,100032,13.243783654824469,100030,13.25277627933676
