flo2d_grid_id,nearest_d03_station_id,dist
1,1104467,1.3695729105653471
2,1104467,1.2365521595792284
3,1104467,1.109133174875198
4,1104467,0.9872423755739719
5,1104467,0.8745608459790691
6,1104467,0.7757855753363975
7,1104467,0.6951203038401957
8,1104467,0.6408185989918475
9,1104467,0.6300155153806098
10,1104467,0.6443185239253137
11,1104368,1.4136423574224477
12,1104368,1.5568931240836097
13,1104467,1.4519247145021028
14,1104467,1.3110039355354062
15,1104467,1.1713509571715373
16,1104467,1.0349554906842104
17,1104467,0.904240135280082
18,1104467,0.7796536713346002
19,1104467,0.6669684209419796
20,1104467,0.5711359839560437
21,1104467,0.5032730840770545
22,1104467,0.4755441744980439
23,1104467,0.4943375043817117
24,1104467,0.5552791630532091
25,1104467,0.6458055550319687
26,1104368,0.936535257324601
27,1104368,1.0787941007109176
28,1104368,1.224005201816184
29,1104368,1.3705177173200298
30,1104368,1.5168680395801448
31,1104467,1.4089234311596879
32,1104467,1.2621392889075336
33,1104467,1.1176062036865626
34,1104467,0.973711348403546
35,1104467,0.8324193716281014
36,1104467,0.6963055886343557
37,1104467,0.566382826221808
38,1104467,0.45075342467227525
39,1104467,0.4304865870268638
40,1104467,0.5431597196722221
41,1104368,0.45851969101788065
42,1104368,0.6019575803942281
43,1104368,0.7473833597619333
44,1104368,0.8954520153057419
45,1104368,1.0462393313949436
46,1104368,1.1944526431985683
47,1104368,1.3441902407917814
48,1104368,1.494227475087735
49,1104467,1.3833287140613606
50,1104467,1.233502690830988
51,1104467,1.085162263256167
52,1104467,0.9362945628738137
53,1104467,0.788324759901312
54,1104467,0.642942918872729
55,1104467,0.4993233795293792
56,1104467,0.36195323339797314
57,1104467,0.2424896544588468
58,1104467,0.1778408268016295
59,1104368,0.17682266937961322
60,1104368,0.033155804535524906
61,1104368,0.1280195717011068
62,1104368,0.2781400420078163
63,1104368,0.42792669759199237
64,1104368,0.5789939137328451
65,1104368,0.7301264974107019
66,1104368,0.8801792365353004
67,1104368,1.0313612613835756
68,1104368,1.182554299557473
69,1104368,1.3326428240637724
70,1104368,1.4838481493970073
71,1104467,1.3721114280434574
72,1104467,1.2209096683559169
73,1104467,1.0697145052336512
74,1104467,0.9196408096647265
75,1104467,0.7684710382177039
76,1104467,0.6173283655848806
77,1104467,0.46734978136221333
78,1104467,0.31638933942855807
79,1104467,0.1659116493886317
80,1104467,0.026825563947618845
81,1104467,0.13886645904491393
82,1104368,0.6416015062316153
83,1104368,0.49457822532834517
84,1104368,0.3511421700124849
85,1104368,0.21936455892171863
86,1104368,0.1339918490548747
87,1104368,0.18232792960702807
88,1104368,0.30694672513697757
89,1104368,0.44824901065622474
90,1104368,0.5933702571935252
91,1104368,0.7415786931545972
92,1104368,0.8908017286360937
93,1104368,1.0394999842770534
94,1104368,1.1896591075559209
95,1104368,1.3400579928217862
96,1104368,1.4895164826793919
97,1104467,1.3771321679657027
98,1104467,1.227792073781436
99,1104467,1.0762687081811635
100,1104467,0.9261539059323554
101,1104467,0.7775685596368289
102,1104467,0.6286170489545652
103,1104467,0.48108626881751165
104,1104467,0.33788640882221205
105,1104467,0.2039402890501102
106,1104467,0.1215916605322579
107,1104467,0.1826164790696221
108,1104368,1.116705566618723
109,1104368,0.9723734035210246
110,1104368,0.829050764980887
111,1104368,0.6891141868931099
112,1104368,0.5560831737330659
113,1104368,0.4262882530059028
114,1104368,0.3264069385615572
115,1104368,0.2763590494168963
116,1104368,0.3032247238489085
117,1104368,0.3906871730704448
118,1104368,0.5092614146786973
119,1104368,0.6417133122780408
120,1104368,0.7799734852420079
121,1104368,0.9230098743229475
122,1104368,1.0683042053794733
123,1104368,1.2139637384261095
124,1104368,1.3616807364469723
125,1104368,1.5089990672358744
126,1104467,1.3981803623841056
127,1104467,1.2502699936196455
128,1104467,1.1043355517353217
129,1104467,0.9586258732025329
130,1104467,0.8149283198305459
131,1104467,0.6755453722170927
132,1104467,0.5409676269768648
133,1104467,0.41877084470544046
134,1104467,0.3206138882622458
135,1104467,0.2756003748411531
136,1104467,0.30748991980028595
137,1104269,1.3913975847441098
138,1104269,1.5359353576931358
139,1104368,1.446071953470107
140,1104368,1.30350790360467
141,1104368,1.1618123212514158
142,1104368,1.0228494316589638
143,1104368,0.8888763311886227
144,1104368,0.7600355427874358
145,1104368,0.6418752700817475
146,1104368,0.5391628577504243
147,1104368,0.46381823957185553
148,1104368,0.4305213395523107
149,1104368,0.4482401335563801
150,1104368,0.5120818861741033
151,1104368,0.6068941768076968
152,1104368,0.7216432727745296
153,1104368,0.8479124553365439
154,1104368,0.9802650842454473
155,1104368,1.1181439872493304
156,1104368,1.2580460023018742
157,1104368,1.401123084682556
158,1104368,1.545752282633783
159,1104467,1.4366185744781135
160,1104467,1.2931122704949078
161,1104467,1.15158318232947
